Name,Message,TimeInSeconds
John,hello everyone! ready for this,5
Lisa,hi from Texas!,8
Adam,lets gooo,10
Anthony,checking in good to be here,12
Michelle T.,ready to larn,15
Chris P.,im ready!,16
Kevin Walsh,hi from the uk!!,18
Lauren,hey guys,19
John,i can hear you!,21
Lisa,loud and clear,23
Adam,yes to both,25
Anthony,audio and video are 100%,26
David,yes screen is visable,28
Rachel M.,yes,30
Brian T.,i can se it,31
Jason,yes,33
Emily Clark,yes we can see it,34
Steve W.,yes sir,36
Amanda,all good here,38
Dylan S.,looks good,39
Justin R.,yes,40
Melissa Davis,yes screen is loud n clear lol,42
Scott,yes,43
Laura B.,see it perfectly,44
Ronnie,hey everyone! glad i made it,46
Ronnie,the channel is blowing up man, just crossed $210 today!,52
Lisa,wow $210 on day one? that is amazng,60
John,congrats Ronnie!,65
Thomas,c,172
Steph G.,c 10 billion,173
Adam,has to be c,174
Gary,b,176
Nicole Adams,c,177
Steve W.,c,178
Pat M.,ill guess b,179
Sammi,c,180
Elizabeth,c,181
Alex F.,c for sure,182
Megan,b 70 billion,183
Tyler Brooks,c,184
Aaron,b i think,185
Ronnie,defnitly c,186
Victoria L.,c,187
John,yes i have 4 different AI video tools and am making $0,328
Lisa,excatly my issue right now,331
Adam,yep i have wasted so much time editing tbh,334
Ben Walker,been stuck at 50 subs for months,336
Brittany,what is the partner programe exactly?,345
Chris P.,how do we get into the program?,347
Lauren,wait i thought u just needed views to get paid??,349
Dylan S.,so views alone dont pay?,351
Nick,exactly,353
Sammi,that explins why my 50 vids made nothing...,356
Aaron,mind blown.,359
Victoria L.,how many subs do we nede for it?,362
Ben Walker,can anyone join it?,365
Ronnie,guys listen to him the partner program changes everything,367
Lisa,so how do we get accepted fast?,372
John,is it hard to get approved?,375
Adam,do u show us how to get in?,378
Nick,how long does aproval take?,380
Anthony,yes unfotunately,383
Steve W.,very familar,385
Rachel M.,too familiar lol,387
Rachel M.,tell me about it,389
John,less than 7 days? ive been trying for 7 months!,400
