Shaki J.,Greetings from PH,1
Yani W.,Audio is good,6
Theresa S.,Second time mom here,13
Simi A.,joining from uk,15
Theresa S.,Second time mom here,16
Damilola S.,Good evening ma,17
Esther D.,Sound perfect,24
Fadekemi K.,can hear u clearly,26
Bunmi H.,present,27
Simi (Makurdi),Evening all,30
Itunu Y.,Just delivered,34
Praise W.,audio is good,36
Efe O.,second time mom here,45
Fadekemi N.,I'm here,49
Mimi (France),hoping for a safe delivery,50
Efe U.,network is fluctuating but i am here,59
Baraka U.,Joining from work,60
Tari Y.,Great connection,71
Mary F.,Checking in,72
Helen A.,first time mom here,76
Aderonke (Wuse),na it starting soon?,84
Zuwaira H.,hi mrs luther,88
Justina O.,Hi Mrs Luther,94
Helen W.,Audio check 1 2,95
Mimi C.,Network is fluctuating but I am here,96
Titi R.,Joining from UK,101
Titi R.,Joining from UK,102
Simi (Awka),sound perfect,102
Kiki B.,volume up,103
Uju (Kumasi),"Prisca from Osogbo, Due in May",109
Remi K.,"my name na sefinat, asaba, overdue",109
Kanyinsola (Maryland),"Nike from London, Week 6",109
Kemi A.,"My name is Mimi joining from Lugbe, Third Trimester",109
Bunmi G.,"My name is Zina joining from Damaturu, Planning",110
Chinyere E.,"My name is Lara joining from Kaduna, Just Delivered",110
Lolo B.,"My name is Beatrice, Lokoja, Due in May",110
Peace M.,"My name is Titi, Victoria Island, 40 weeks",110
Beatrice G.,"Ekaette from Abakaliki, Week 15",112
Yewande C.,"Mercy from Maitama, 40 weeks",112
Yemisi K.,"my name is ezinne joining from manchester, due in may",112
Remi V.,"Efe from Zaria, Due next month",114
Yewande S.,"Ganiyat from Oshodi, Week 15",114
Esther S.,"my name na zina joining from damaturu, planning",114
Tolu Y.,"My name is Damilola, Ogudu, 12 weeks",115
Chizoba C.,"my name is folasade joining from chicago, due in may",115
Stella K.,"Ezinne from Manchester, Due in May",115
Grace N.,"My name is Dammy joining from Johannesburg, First Trimester",116
Pelu (Ilorin),"My name is Chika joining from Yola, Week 28",116
Vimi (Maitama),"my name is zara joining from germany, first trimester",116
Lilian E.,"Simi from Scotland, Early pregnancy",116
Itunu (Owerri),"My name is Chizoba joining from Benin City, Ready 2 pop",116
Nse S.,"My name is Nkiru joining from Osogbo, Planning",118
Faith C.,"toke from london, week 28",118
Ezinne O.,"baraka from france, due in june",118
Hadiza R.,"my name is jessica joining from ikorodu, due next month",119
Ufuoma H.,"my name is titilayo, gwarinpa, ready to pop",119
Zara T.,"Ugomma from Makurdi, Week 6",119
Seyi O.,"My name is Remi, Surulere, Due next month",119
Yinka R.,"my name is bosede joining from ajah, week 15",122
Paulina O.,"my name is nicole joining from wuse, just delivered",122
Nse P.,"Stella from Zaria, Due in July",122
Omotola O.,"My name na Shola joining from Onitsha, 38 weeks",122
Wasilat G.,"my name is jumai joining from oshodi, week 15",122
Hidayah L.,"my name is lola joining from texas, due next month",123
Grace T.,"My name na Ugomma joining from New York, 40 weeks",123
Nkechi R.,"My name is Abigail joining from Houston, Due in May",123
Ayra Y.,"my name is nike joining from london, week 6",123
Yetunde A.,"My name na Ufuoma joining from Ibadan, Due in July",123
Precious C.,"My name is Bisi, Lokoja, 40 weeks",124
Ugonma B.,"My name is Iyabo joining from Makurdi, Due next month",124
Seyi J.,"My name na Megan joining from Utako, Planning",124
Chidinma I.,"my name is nneoma, ontario, planning",124
Mercy E.,"my name is joy joining from manchester, first trimester",124
Lolo M.,"My name na Simi, Ontario, Third Trimester",124
Mopelola K.,"My name is Chika joining from Jabi, 20 weeks",126
Omotola (Gusau),"Yetunde from Birmingham, Just Delivered",126
Ogechi (Calabar),"My name is Farida joining from Enugu, Planning",126
Damilola U.,"my name is wendy joining from yaba, ttc",126
Farida U.,"Victoria from Yenagoa, Week 28",126
Zainab R.,"My name is Chisom joining from Lafia, 12 weeks",126
Simi K.,"My name is Shola, Onitsha, 38 weeks",127
Iyabo T.,"Ayra from Chicago, 38 weeks",127
Yemi (Dublin),"ejiro from wuse 2, due in july",127
Nini K.,"My name is Gloria joining from Ilorin, TTC",127
Nneoma C.,"Chidinma from Manchester, Second Trimester",127
Toyin H.,"nse from maryland, 40 weeks",128
Jolade Y.,"My name is Praise, Makurdi, TTC",128
Mopelola K.,"My name is Chika joining from Jabi, 20 weeks",129
Yetunde Y.,"my name is rachel joining from france, overdue",129
Hope K.,"My name is Hadiza joining from Texas, Second Trimester",129
Zainabu J.,"My name na Lola, Warri, Second Trimester",129
Folasade M.,"my name is sade, alberta, ttc",131
Chidinma C.,"chidinma from alberta, just delivered",131
Raliat O.,"My name is Busola, Katsina, Overdue",131
Teni G.,"latifah from kumasi, just delivered",131
Efe I.,"My name is Tari, Ado Ekiti, Third Trimester",131
Doris J.,"My name is Wendy joining from Gwarinpa, Ready 2 pop",132
Yabode Y.,"onyinye from scotland, just delivered",132
Adanne U.,"My name na Limota joining from Kano, Due in May",134
Chidinma O.,"My name is Olamide joining from Gusau, Week 28",134
Victoria (Birnin Kebbi),"Folasade from Johannesburg, Week 15",134
Jolade (Lafia),"My name na Folashade, Oshodi, Overdue",134
Sekinat (Scotland),"My name is Omawumi joining from Ibadan, Due in May",135
Precious F.,"My name is Jessica, Ikorodu, Due next month",135
Juliet R.,"ganiyat from maitama, 38 weeks",135
Praise (Jabi),"My name na Philomena, Awka, Week 28",135
Adanne U.,"My name na Limota joining from Kano, Due in May",137
Victoria I.,"my name is seyi, germany, 12 weeks",137
Titilayo S.,"My name is Ene, Ogudu, Due next month",137
Chizoba G.,"My name is Ugomma joining from Makurdi, Week 6",137
Gloria (Oshodi),"My name is Bolanle joining from Kano, Overdue",137
Grace E.,"Oby from Surulere, Due in June",137
Bolalanle P.,"my name is helen joining from chicago, 40 weeks",138
Yabode E.,"My name is Ejiro joining from Kubwa, First Trimester",138
Ogechi K.,"my name is blessing joining from warri, second trimester",138
Ezinne (Yola),"Iniobong from Oshodi, Week 6",138
Temi R.,"Stella from Kaduna, Due next month",138
Kiki (Scotland),"my name is megan joining from utako, planning",138
Grace E.,"Oby from Surulere, Due in June",139
Bolanle U.,"My name is Folashade joining from Zaria, 20 weeks",139
Kanyinsola U.,"my name is theresa, wuse 2, due next month",139
Hidayah E.,"My name is Bilkis joining from Ogudu, Third Trimester",139
Gifty G.,"my name na wimi joining from lokoja, first trimester",139
Gladys V.,"zina from dublin, 40 weeks",139
Wura B.,"Ejiro from Wuse 2, Due in July",140
Uche W.,"My name is Yabode joining from Umuahia, TTC",140
Beatrice H.,"my name is dammy, asaba, third trimester",140
Mercy (Onitsha),"sandra from wales, ready 2 pop",140
Chioma T.,"My name is Zainab joining from Asokoro, TTC",140
Esther L.,"valerie from mushin, early pregnancy",141
Ugonma L.,"Sefinat from Asaba, Overdue",141
Hidayah (Nairobi),"My name is Doris joining from Wuse 2, Due in June",141
Folake F.,"My name na Chiamaka, Jos, Just Delivered",142
Sade Y.,"Ekaette from Abeokuta, 38 weeks",142
Chisom E.,"My name na Rachel joining from Nairobi, Due in July",142
Martha (France),"My name is Ufuoma joining from California, Planning",142
Koko H.,"Maryam from Lokoja, Second Trimester",143
Eniola (Maitama),"Abosede from Osogbo, 20 weeks",143
Nkechi C.,"my name na vero, surulere, due in june",144
Deborah J.,"my name is yetunde joining from minna, 20 weeks",144
Chizoba (Ontario),"My name is Voke joining from Nyanya, Week 15",147
Amina O.,"rachel from ogudu, due in july",147
Tari N.,"My name is Vero joining from Surulere, Due in June",147
Elizabeth C.,"my name is hassana joining from wales, due next month",147
Fadekemi W.,"my name is prisca joining from nairobi, ready to pop",148
Bolanle H.,"My name is Zina joining from Dublin, 40 weeks",148
Victoria I.,"My name na Folake joining from New York, 12 weeks",148
Ekaette (Chicago),"My name is Zainab joining from France, Third Trimester",148
Hidayah O.,"Sade from Dallas, 12 weeks",148
Toke H.,"My name is Folake joining from California, Second Trimester",148
Chizoba (Ontario),"My name is Voke joining from Nyanya, Week 15",149
Bosede N.,"my name is zainabu joining from ireland, early pregnancy",149
Wunmi B.,"My name is Paulina joining from Asaba, 20 weeks",149
Hauwa (Ikeja),"My name is Bolanle joining from Gwarinpa, Early pregnancy",149
Ify (Apapa),"my name na shola joining from abakaliki, 38 weeks",149
Joy O.,"My name na Sefinat joining from Osogbo, TTC",150
Omolara F.,"my name is theresa joining from wuse 2, due next month",150
Peju G.,"My name is Praise joining from Yola, 38 weeks",150
Iyabo I.,"My name is Ekaette joining from Abeokuta, 38 weeks",150
Oby I.,"my name is praise joining from makurdi, ttc",151
Ibiwari N.,"Kudirat from Ikeja, Planning",151
Kikelomo L.,"My name is Nini joining from Yaba, 12 weeks",151
Kiki S.,"My name is Efe joining from Ado Ekiti, 40 weeks",152
Onyinye A.,"My name is Halima, Magodo, Week 6",152
Simi (Ilorin),"My name is Queen joining from Onitsha, Third Trimester",152
Ogechi W.,"My name is Rachel, Nairobi, Due in July",153
Kafayat (France),"My name is Yetunde joining from Birmingham, Just Delivered",153
Damilola J.,"my name is folasade, johannesburg, week 15",153
Folasade (Ireland),"My name is Hope joining from Festac, Week 15",153
Zara (Houston),"Rashida from Minna, 38 weeks",153
Ezinne G.,"My name is Queen, Ikorodu, Due next month",154
Sarah H.,"My name is Chisom joining from Lafia, 12 weeks",154
Eniola (Lagos),"my name is jennifer joining from katsina, due in may",155
Aisha (Badagry),"My name is Xara, Katsina, 20 weeks",155
Nwanneka Y.,"my name is bilkis joining from ogudu, third trimester",156
Ronke F.,"My name is Elizabeth joining from Ontario, Just Delivered",156
Tiwa T.,"my name is uchenna, ibadan, week 15",156
Itunu (Jabi),"My name is Ejiro, New York, Due in May",157
Valerie B.,"my name is wunmi joining from umuahia, 12 weeks",157
Gifty (Yenagoa),"my name na chiwendu joining from wales, due next month",157
Florence M.,"my name is wimi joining from lokoja, first trimester",157
Tina W.,"mercy from maitama, 40 weeks",159
Yani I.,"My name is Ayra joining from Surulere, Week 28",159
Amaka (Lafia),"my name is sefinat, osogbo, ttc",159
Kafayat V.,"amina from yenagoa, 40 weeks",159
Taiwo (Asokoro),"My name is Sefinat joining from Osogbo, TTC",159
Remi F.,"My name na Abigail joining from Kumasi, Due in May",159
Soso O.,"My name is Yabode, Toronto, Ready to pop",160
Nini C.,"Omawumi from Minna, Early pregnancy",160
Bola (Oshodi),"My name is Hidayah, Wuse 2, Week 6",160
Titilope N.,"Folasade from Johannesburg, Week 15",160
Veronica F.,"my name is megan, utako, planning",161
Yani W.,"my name is elizabeth, ontario, just delivered",161
Oluwaseun (Accra),"Baraka from France, Due in June",161
Omawumi (Maitama),"my name is bolanle joining from abakaliki, week 15",161
Bukola H.,"Kudirat from Utako, Just Delivered",161
Hauwa P.,"my name is bisi, lokoja, 40 weeks",161
Koko F.,"My name is Titilayo joining from Lokogoma, Due in June",162
Folashade K.,"peju from victoria island, ttc",162
Sefinat M.,"my name na oluwaseun joining from epe, ready to pop",162
Paulina (Kano),"My name is Adanne, Texas, Third Trimester",162
Patience (Festac),"my name is beatrice, jabi, due in may",162
Justina E.,"My name is Megan, Utako, Planning",162
Ejiro B.,I just delivered,163
Chinyere B.,I am preparing,163
Ijeoma (Ontario),i just delivered,163
Toyin C.,I am pregnant,163
Omotola (Festac),i am pregnant,163
Oluwaseun (Accra),"Baraka from France, Due in June",164
Ene (Nyanya),Preparing,164
Latifah Y.,New mom here,164
Mojisola L.,Pregnant with twins,165
Chisom M.,i am pregnant o,165
Damilola (Isolo),I am pregnant o,165
Chinyere O.,Pregnant FTM,166
Helen T.,ttc,166
Praise (Ikeja),Preparing here,166
Rachel E.,TTC,166
Pelu (Nairobi),pregnant with twins,166
Rebecca U.,Just delivered last week,167
Mary J.,Pregnant 2nd baby,167
Adetola H.,pregnat ftm,167
Deborah (Maryland),I am pregnant,167
Stella F.,just delivered last week,169
Efe S.,pregnant ftm,169
Voke (Osogbo),preparing,169
Folashade (Ogudu),i am preparing,169
Oby L.,I am pregnat o,170
Kehinde (Lagos),pregnat 2nd baby,170
Veronica (Makurdi),I am pregnant,170
Uju G.,new mom here,170
Abosede I.,preparing here,171
Tina (Mushin),pregnant 2nd baby,171
Teni (Texas),I just delivered,171
Eniola J.,I am preparing,171
Yemisi (Warri),preparing here,171
Abosede H.,Preparing here,171
Wasilat S.,Pregnant FTM,172
Jennifer I.,I am preparing,172
Rachel A.,Preparing here,172
Aisha L.,i am pregnat,173
Rachel T.,I am pregnant o,173
Nafisat D.,pregnant 2nd baby,173
Nneka G.,pregnant ftm,173
Raliat B.,I am preparing,173
Folasade (Chicago),Preparing,174
Nafisat K.,I am pregnant o,174
Tolulope (Awka),pregnat FTM,174
Temi (Bauchi),I am preparing,174
Ngozi G.,I am pregnant o,174
Victoria (Dutse),Pregnant wit twins,175
Itunu T.,Just delivered last week,175
Tiwa M.,i am pregnant,175
Nike N.,New mom here,175
Latifah R.,just delivered last week,177
Stella H.,I am pregnat,177
Esther N.,Pregnant 2nd baby,177
Nafisat (Uyo),I just delivered,177
Shaki (Ado Ekiti),I am preparing,177
Amanda G.,i just delivered,177
Tari F.,i am pregnat,178
Nike K.,pregnant wit twins,178
Morayo H.,New mom here,180
Zuwaira W.,i am pregnat,180
Simi (Ontario),I am pregnant,180
Jolade V.,I just delivered,180
Yinka D.,pregnant 2nd baby,180
Aisha W.,i am pregnant,181
Kanyinsola B.,Pregnant with twins,181
Efe (Dubai),pregnant FTM,181
Wimi Y.,i am pregnant o,181
Hannah I.,new mom here,181
Joy N.,TTC,182
Ayra W.,pregnant with twins,182
Itunu L.,Just delivered last week,182
Lolo S.,Pregnant 2nd baby,183
Nini (Maryland),pregnat with twins,183
Yewande T.,preparing,183
Kanyinsola J.,New mom here,183
Omowunmi C.,I am preparing,183
Nkiru Y.,ttc,185
Elizabeth (Dubai),i just delivered,185
Mimi F.,i am preparing,185
Nkiru Y.,ttc,186
Loveth (Jabi),I am pregnant,186
Shola R.,Preparing here,186
Rebecca E.,I just delivered,186
Kehinde S.,pregnant ftm,186
Miriam J.,pregnant 2nd baby,186
Zainab V.,Pregnant with twins,187
Simi I.,i am pregnant,187
Ibiwari U.,TTC,187
Favour (California),just delivered last week,187
Hannah (Lagos),Pregnant FTM,187
Zainab I.,I am pregnant,189
Lara J.,I just delivered,189
Omolara E.,i am pregnant,189
Raliat U.,i am pregnat o,189
Folashade S.,I am pregnant,190
Nicole H.,I am preparing,190
Simi E.,I am pregnant,190
Nkechi (Oshodi),Pregnant FTM,190
Valerie R.,Preparing,190
Toke L.,pregnant 2nd baby,190
Ufuoma N.,i am pregnant o,192
Tolulope S.,I am preparing,192
Jumai (Ado Ekiti),TTC,192
Prisca Y.,Pregnant with twins,192
Ifeoma (Asokoro),i am preparing,192
Joy (Wuse 2),I just delivered,192
Adanne (Apapa),Preparing,193
Folasade E.,I am pregnat,193
Nkiru (Kano),Preparing,193
Wendy I.,I am preparing,193
Lolo O.,i am pregnant o,194
Justina S.,I am pregnant o,194
Jennifer O.,i am pregnant,194
Veronica Y.,preparing here,194
Josephine (Mushin),i am preparing,195
Rosemary (Epe),new mom here,195
Wendy (Calabar),pregnat ftm,195
Titi K.,Preparing here,195
Efe I.,i am pregnant,196
Stella R.,i am preparing,196
Waje (London),Just delivered last week,196
Winifred T.,I am pregnat o,196
Limota I.,i am pregnant,197
Paulina V.,Preparing,197
Efe C.,Preparing here,197
Gifty E.,Pregnant 2nd baby,197
Tina S.,New mom here,198
Dide H.,Just delivered last week,198
Waje (London),Just delivered last week,199
Miriam B.,pregnat with twins,199
Bola E.,I just delivered,199
Munirat U.,ttc,199
Ifeoma D.,i am pregnant,199
Sade Y.,ttc,200
Amaka L.,pregnant with twins,200
Wunmi B.,preparing,200
Bunmi P.,Pregnant with twins,200
Dide H.,Just delivered last week,201
Dide G.,pregnant with twins,201
Grace L.,i am preparing,201
Latifah F.,i just delivered,201
Patience (Lafia),i am pregnant,202
Elizabeth (Nairobi),ttc,202
Amaka C.,i am pregnat,203
Mojisola K.,pregnant ftm,203
Faith G.,pregnat wit twins,203
Kemi S.,Preparing,203
Winifred (Dutse),pregnat 2nd baby,203
Zara J.,I just delivered,203
Toke (Asaba),New mom here,204
Stella A.,New mom here,204
Zainab B.,pregnant 2nd baby,204
Gifty M.,I am pregnant,204
Iyabo K.,Preparing,204
Lisa I.,just delivered last week,204
Chika T.,Pregnant FTM,205
Wasilat C.,preparing here,205
Jumoke F.,Pregnant wit twins,205
Nwanneka S.,TTC,205
Blessing R.,New mom here,206
Toyin G.,ttc,206
Zarah M.,I am pregnat,206
Temi (Uyo),Pregnant with twins,206
Rita N.,I am preparing,206
Abosede F.,Pregnant FTM,206
Theresa B.,Preparing,207
Tosin (Wuse 2),I am pregnant,207
Doreen E.,pregnant with twins,207
Funke I.,preparing,209
Ijeoma (Magodo),Preparing here,209
Rita V.,I am pregnant,209
Xara R.,TTC,209
Xara R.,TTC,210
Oluwaseun (Mushin),i am pregnant o,211
Esther U.,just delivered last week,211
Yabode F.,New mom here,212
Nini B.,Preparing,212
Chiamaka (Asokoro),Pregnant FTM,212
Yinka (Bauchi),I am preparing,213
Xara (Dubai),TTC,213
Nwanneka (Surulere),Pregnant 2nd baby,214
Iyabo F.,New mom here,214
Nneoma R.,Pregnant FTM,214
Yemi (Isolo),I am pregnant o,214
Peju G.,I am preparing,215
Sandra O.,I am pregnant,215
Kemi W.,Pregnant FTM,217
Ugonma P.,new mom here,217
Mercy H.,Just delivered last week,217
Gbemisola T.,pregnat FTM,217
Simi A.,i just delivered,218
Zina (Wuse 2),i am preparing,218
Bunmi W.,I am pregnant,218
Zainab V.,i am pregnant,218
Kemi T.,I am preparing,218
Amaka U.,Pregnant wit twins,218
Yemi (Isolo),i am pregnat,219
Lilian I.,Pregnant 2nd baby,219
Megan W.,Pregnant 2nd baby,219
Queen U.,pregnant 2nd baby,219
Ngozi D.,I just delivered,220
Chidinma (Calabar),preparing,220
Oby Y.,i am preparing,220
Uju I.,TTC,220
Nkiru R.,I am pregnant,220
Vero T.,I am pregnat o,220
Tina W.,I just delivered,221
Oluwaseun C.,ttc,221
Ada U.,I just delivered,221
Grace I.,I am pregnant o,222
Vero G.,I am pregnant,222
Zainab N.,i am pregnat o,222
Jumai P.,pregnant ftm,222
Yemi G.,New mom here,222
Lisa U.,I just delivered,235
Damilola B.,Pregnant with twins,264
Doreen B.,preparing here,284
Eniola (Magodo),i am preparing,302
Miriam M.,just delivered last week,311
Wura C.,I am pregnant,315
Ekaette (Johannesburg),i just delivered,322
Miriam L.,Preparing here,341
Yemi D.,pregnant with twins,342
Busola (Gwarinpa),new mom here,352
Precious C.,pregnat 2nd baby,359
Elizabeth J.,I am preparing,371
Toke N.,I am pregnat,378
Nini U.,pregnat with twins,383
Uzo (Ogudu),preparing here,397
Zarah (Gusau),yesss,404
