Name,Message,TimeInSeconds
Jada H.,checking in from italy,5
Brandi A.,checking in from colombia,8
Tara S.,ready to be fired up lets go,10
Lilian K.,yeah let's see the cutting edge stuff,34
Lilian W.,i want to tap into trends,36
James X.,how can we run a 20k ai agency?,37
Modupe X.,yes very excited,45
Michelle A.,ai instagram sounds crazy,50
Ayo R.,checking in from dublin,55
Latoya I.,i hope this ben murray is legit,59
Carolyn N.,yes,65
Brooke N.,sounds great,72
Felicia Y.,yes,76
Brianna G.,yes,80
Lakesha Q.,lets see what this is all about,86
Alexandria X.,hello world checking in from paris,91
Chelsea I.,ai agents?,96
Daniel O.,yes,107
James Y.,yes,108
Thomas W.,i'm ready checking in from california,110
Diamond X.,yes,111
Carolyn N.,gonna type yes also for everyone,141
Kayla K.,gonna make that money,143
Talia P.,so addicted lol,144
Fatimah L.,lets do it,156
Fatimah S.,must have cutting edge ai marketing training,172
Breanna U.,yes,173
Joy K.,yes excited is an understatement,176
Shayla L.,yes,177
Chelsea A.,yes,182
Breanna R.,yes,185
Nicole J.,revolution in marketing,195
Alexis D.,lets be excited together,196
Robert Y.,checking in from boston,199
Alexandria R.,checking in from sweden,199
Jada G.,yeah i'm ready to crush it,210
Lisa A.,yes,219
Lisa K.,checking in from canada,229
Kirsten E.,meta approved ai stuff?,230
Crystal Z.,checking in from kuwait,236
Brianna M.,checking in from hungary,244
Sierra Q.,lets build that brand,255
Matthew B.,checking in from romania,264
Shantel E.,checking in from seattle,272
Nicole M.,checking in from spain,280
Michelle K.,thanks for the message from jen,286
Haven Y.,checking in from austria,298
Anthony B.,checking in from mexico city,301
John N.,checking in from kenya,301
Chelsea Y.,yes cant wait here,303
Kendra U.,ok lets get that training now,307
Kiara P.,need this ai stuff,315
Latrice H.,i hope we get some real meat in this training,319
Kayla W.,ok excited about this,330
Angelica W.,yes,335
Blessing F.,i'm fired up now,336
David D.,type yes now if you're ready to go,346
Veronica J.,checking in from japan,355
Matthew W.,checking in from czech republic,361
Charles L.,type yes now if you're ready to go,363
Alexis J.,yes lets see this now,363
Joy Q.,checking in from new zealand,364
Erica W.,checking in from denver,369
Carolyn D.,yes,383
Jasmine J.,i'm excited about this,400
Veronica H.,i want the cutting edge stuff love it,400
Toni P.,live from dallas texas,413
Ayo S.,yeah I'm addicted to social media,417
Sierra A.,wow i can't believe we are finally learning ai,418
Brooke K.,lets do this,439
Kayla D.,checking in from singapore,442
Brianna P.,this jen sounds like me,442
Daniel L.,i'm in,443
Hauwa K.,ai agent lets go,445
Brianna B.,thanks,449
Jasmine M.,awesome,461
Tara S.,lets do this excited for this,471
Latoya O.,i want to make some passive income,472
Michelle A.,type yes now if you're ready to go in the chat,480
Ashley N.,checking in from south africa,487
Kierra O.,yes,487
Melanie X.,checking in from taiwan,497
Breanna Z.,type yes now if you're ready to go now,501
Tiffany Z.,he said something about magical genies haha,502
Modupe O.,i want to retire my wife also,514
Matthew Q.,yes time to go,516
Kayla K.,sounds great ready for this,518
David M.,that sounds like a movie lol,524
Kiara J.,type yes now if you are ready to go,528
Brianna F.,i don't want to get automated away,530
Diamond Z.,yes,538
Joy R.,ok i'm ready,543
Ese Y.,okay type yes awesome,545
Latrice Y.,ben lets go,546
Latoya D.,ok ready to go,547
Kierra C.,checking in from ohio,548
Jasmine Q.,cant wait need this ai stuff,548
Tiffany Z.,yessir lets go,553
Deandra W.,checking in from ghana,558
Matthew L.,checking in from nigeria,560
William A.,ready to get that AI training now,560
Melanie L.,yes,564
Michelle H.,yes,569
Jada P.,ben i'm ready to go,575
Ayo C.,yes,578
Fatimah D.,that intro music was pretty cool,592
Chelsea S.,checking in from saudi arabia,600
Grace T.,i need a system something i can actually use,610
Melanie S.,yes,612
Kierra T.,yes,613
Fatimah L.,cant wait awesome lets learn it,616
Chelsea B.,that's a lot of yeses lol,619
Kayla L.,ok the genie is the new team member,620
Brandi C.,amazing stuff,630
Anthony Q.,i want a faceless channel business,645
Ese F.,checking in from philippines,650
Diamond C.,must have training on how to build these channels,650
Ashley W.,yes ready to go,672
Felicia S.,yes,676
Alexandria W.,type yes now if you're ready to go,679
Brooke V.,lets see these agentic agencies,701
Lisa Y.,yes,703
James S.,lets make this the year,710
Thomas K.,checking in from london uk,718
Stephanie P.,amazing can't wait,718
Breanna O.,yes,719
Michael M.,time to put those phones away lol,720
Anthony Q.,live from miami,723
Stephanie M.,live from san diego,726
Melanie O.,checking in from ukraine,727
Brittany N.,awesome,750
Nicole S.,checking in from amsterdam,752
James D.,great lets go,754
Alexis Y.,yes,756
Chelsea Z.,yes,761
Kierra E.,attention economy,766
Toni C.,excited for this opportunity lets go,768
Ashley O.,this is what i need,769
Anthony D.,type yes now if you're ready to go,769
Lilian L.,yes,773
Daniel U.,so excited awesome work lets go,773
Grace Z.,time to sign up,774
Angelica W.,yes awesome cant wait,794
Blessing P.,ready to take some notes,799
Dominique W.,checking in from dubai,815
Daniel N.,yes lets see this stuff,815
William Q.,okay excited ben,815
Anthony J.,let's go this sounds amazing,817
Michelle G.,wow jen went from stuck to exploding,821
Charles X.,yes,822
Jada N.,checking in from germany,837
Michael Y.,my phone is silenced,839
Samantha J.,yes,843
James P.,yes lets do it now,856
Alexis B.,i'm ready,861
Brittany W.,yes,880
Grace B.,yes this is amazing,887
Jada O.,i'm a total newbie,889
Chelsea A.,yes cant wait,895
Nicole M.,checking in from scotland,901
Breanna N.,must have ai marketing training,902
Joseph R.,yes checking in from my kitchen,903
Lisa Z.,yes,907
Nicole S.,yes,912
Stephanie Y.,finally something real,924
Fatimah N.,that ai girl sounded great,931
Veronica H.,ok good point old school marketing is gone,934
Carolyn M.,yes awesome let's go i'm ready,945
Modupe L.,can't wait lets crush this,951
Lakesha I.,awesome lets go crushing it now,954
Deandra Y.,yes,956
Olivia O.,yes,970
Samantha H.,i hope this works,980
Krystal H.,yes,984
Ese T.,ai is the future,995
Thomas G.,ready for this ai cutting edge knowledge,1005
Ashley K.,checking in from israel,1007
Fatimah X.,sounds great so excited for all this,1011
Veronica N.,yes,1014
Samantha P.,awesome lets go,1040
Joseph G.,yes,1043
Jazmine H.,need to win in this new era,1051
Lakesha O.,yes,1054
Brooke O.,yes,1055
Ayo M.,let's go,1056
Angelica T.,checking in from thailand,1056
Stephanie J.,type yes now lets learn all this stuff,1056
Veronica A.,amazing stuff this ai stuff,1057
Kendra L.,checking in from brazil,1062
Latoya V.,checking in from south korea,1064
Crystal R.,excited here,1067
Daniel Z.,yes,1077
Robert L.,yes,1084
Nicole N.,i want to have 15k a month,1087
Haven T.,yeah cant wait,1089
Grace V.,yes,1091
Hauwa C.,yeah I check social media,1099
Angelica U.,yes,1105
Lisa B.,ok lets do this now,1109
Michael H.,yes,1117
Michelle S.,lets get that cutting edge stuff,1120
Haven A.,yes,1143
Alexis Z.,yes,1148
Jazmine V.,checking in from florida,1156
Thomas Q.,type yes now if you're ready to go now,1160
Modupe W.,checking in from belgium,1165
Toni S.,lets do this awesome,1168
Hauwa B.,ok lets see the system,1169
Haven S.,yes lets get this bread,1177
Daniel V.,yes,1186
Breanna G.,i'm going to get that aff monetization system,1188
Shayla R.,yes,1193
Matthew T.,that intro from jen was amazing,1195
Robert B.,so ready type yes now lets get it,1195
David L.,yes,1206
Latrice E.,hello everyone checking in from austin,1212
Felicia I.,type yes now if you're ready to go,1212
Kierra J.,checking in from vietnam,1219
Brandi X.,checking in from egypt,1232
Crystal F.,ai agents now,1236
James X.,yea i want to dominate,1238
Grace S.,gonna make this a success,1248
Kayla Z.,checking in from portugal,1250
Breanna S.,yes,1258
Kiara Q.,checking in from my bathroom because it is silent in here lol,1263
Blessing C.,yes,1267
William D.,yes,1273
Michelle I.,can't wait awesome love these offers,1276
Ashley D.,yes,1281
Matthew J.,yes,1286
Latrice O.,yes,1289
Jazmine W.,david exactly what I'm thinking,1291
Jasmine C.,yes,1301
James S.,checking in from argentina,1311
Alexis E.,i need this ai system,1320
Brandi P.,checking in from nyc,1328
Stephanie D.,yes,1350
Samantha A.,ok so eight figure ai huh,1355
Alexandria M.,type yes now if you're ready to go,1361
Kierra D.,checking in from venezuela,1375
Daniel E.,ok time to win,1376
Veronica U.,yes so fired up,1378
Kirsten P.,let's get this free time,1383
Diamond Z.,yes,1384
Robert O.,this is where it's at,1386
Modupe X.,checking in from poland,1387
Jazmine J.,type yes now if you're ready to go,1390
Kayla U.,checking in from kansas,1398
